Sample1,Sample2,Sample3,Sample4
81.0,52.0,40.0,52.0
40.0,80.0,86.0,28.0
44.0,86.0,72.0,33.0
41.0,30.0,114.0,18.0
68.0,33.0,33.0,46.0
55.0,98.0,60.0,42.0
37.0,61.0,100.0,22.0
83.0,49.0,37.0,53.0
72.0,52.0,61.0,42.0
75.0,67.0,40.0,53.0
51.0,30.0,105.0,22.0
52.0,40.0,102.0,24.0
45.0,82.0,67.0,34.0
39.0,67.0,112.0,22.0
51.0,101.0,70.0,38.0
63.0,89.0,52.0,47.0
56.0,89.0,51.0,44.0
69.0,14.0,37.0,39.0
91.0,18.0,29.0,51.0
61.0,19.0,43.0,36.0
44.0,47.0,114.0,21.0
46.0,54.0,110.0,23.0
89.0,33.0,30.0,55.0
89.0,29.0,37.0,51.0
47.0,51.0,108.0,23.0
55.0,73.0,85.0,33.0
38.0,74.0,102.0,24.0
56.0,39.0,96.0,26.0
63.0,33.0,84.0,29.0
66.0,83.0,45.0,50.0
79.0,47.0,48.0,47.0
63.0,7.0,66.0,25.0
49.0,23.0,107.0,20.0
48.0,31.0,109.0,21.0
40.0,75.0,108.0,24.0
86.0,41.0,34.0,54.0
79.0,51.0,47.0,48.0
55.0,13.0,92.0,21.0
59.0,9.0,59.0,27.0
57.0,68.0,84.0,33.0
48.0,15.0,72.0,23.0
71.0,59.0,59.0,43.0
78.0,9.0,37.0,39.0
77.0,14.0,32.0,44.0
65.0,86.0,50.0,48.0
81.0,7.0,43.0,37.0
47.0,75.0,60.0,36.0
42.0,22.0,107.0,17.0
64.0,54.0,76.0,35.0
62.0,79.0,66.0,41.0
83.0,10.0,33.0,43.0
46.0,47.0,61.0,31.0
67.0,73.0,61.0,43.0
91.0,25.0,33.0,52.0
91.0,19.0,31.0,51.0
50.0,45.0,105.0,24.0
40.0,57.0,115.0,21.0
57.0,94.0,54.0,45.0
86.0,41.0,33.0,55.0
83.0,48.0,38.0,53.0
43.0,90.0,77.0,32.0
78.0,8.0,38.0,38.0
65.0,9.0,48.0,31.0
64.0,7.0,61.0,26.0
39.0,40.0,117.0,18.0
38.0,37.0,112.0,18.0
56.0,32.0,45.0,37.0
45.0,65.0,65.0,33.0
72.0,11.0,37.0,39.0
78.0,35.0,57.0,41.0
89.0,21.0,39.0,47.0
82.0,42.0,28.0,56.0
88.0,16.0,41.0,44.0
79.0,49.0,47.0,48.0
72.0,72.0,40.0,53.0
38.0,64.0,111.0,21.0
60.0,8.0,76.0,23.0
48.0,101.0,74.0,36.0
53.0,16.0,97.0,20.0
49.0,31.0,108.0,21.0
73.0,8.0,41.0,35.0
61.0,24.0,40.0,38.0
51.0,26.0,106.0,21.0
66.0,10.0,44.0,34.0
91.0,24.0,32.0,52.0
39.0,63.0,114.0,21.0
80.0,7.0,41.0,37.0
65.0,17.0,39.0,38.0
64.0,9.0,48.0,31.0
46.0,69.0,61.0,35.0
45.0,16.0,94.0,19.0
90.0,22.0,28.0,53.0
88.0,11.0,34.0,45.0
58.0,31.0,93.0,26.0
62.0,13.0,82.0,24.0
79.0,29.0,55.0,41.0
47.0,91.0,66.0,36.0
54.0,13.0,92.0,21.0
77.0,35.0,57.0,41.0
57.0,24.0,46.0,35.0
